Temperature (K),Luminosity(L/Lo),Radius(R/Ro),Absolute magnitude(Mv),Star type,Star color,Spectral Class,delta_T
8250,9.25,1.93,-0.98,3,yellow-white,F,2247.4624999999996
23678,244290.0,35.0,-6.27,4,Blue,O,13180.5375
12749,332520.0,76.0,-7.02,4,Blue,O,2251.5375000000004
9383,342940.0,98.0,-6.98,4,Blue,O,1114.4624999999996
23440,537430.0,81.0,-5.975,4,Blue,O,12942.5375
16787,246730.0,62.0,-6.35,4,Blue,O,6289.5375
18734,224780.0,46.0,-7.45,4,Blue,O,8236.5375
9892,593900.0,80.0,-7.262,4,Blue,O,605.4624999999996
10930,783930.0,25.0,-6.224,4,Blue,O,432.53750000000036
23095,347820.0,86.0,-5.905,4,Blue,O,12597.5375
21738,748890.0,92.0,-7.346,4,Blue,O,11240.5375
24145,382993.0,1494.0,-8.84,5,Blue-white,B,13647.5375
27739,849420.0,1252.0,-7.59,5,Blue-white,B,17241.5375
21904,748490.0,1130.0,-7.67,5,Blue-white,B,11406.5375
8829,537493.0,1423.0,-10.73,5,White,A,1668.4624999999996
9235,404940.0,1112.0,-11.23,5,White,A,1262.4624999999996
